,time,open,high,low,close,ema_short,ema_long,EMA_6,EMA_12,EMA_20,SAR,RSI_14
0,2020-10-28 12:00:00,135.182,135.294,135.076,135.092,135.092,135.092,135.092,135.092,135.092,,
1,2020-10-28 13:00:00,135.091,135.302,135.007,135.129,135.129,135.09345,135.10257,135.09769,135.09552,135.007,
2,2020-10-28 14:00:00,135.128,135.211,134.88,135.087,135.087,135.0932,135.09812,135.09605,135.09471,135.302,
3,2020-10-28 15:00:00,135.088,135.285,134.915,135.175,135.175,135.09641,135.12009,135.10819,135.10236,135.302,
4,2020-10-28 16:00:00,135.175,135.695,135.146,135.367,135.367,135.10702,135.19063,135.14801,135.12756,134.88,
5,2020-10-28 17:00:00,135.367,135.652,135.358,135.594,135.594,135.12611,135.30588,135.21662,135.17199,134.8963,
6,2020-10-28 18:00:00,135.594,135.604,135.35,135.404,135.404,135.13701,135.33392,135.24545,135.19408,134.91227,
7,2020-10-28 19:00:00,135.404,135.508,135.334,135.504,135.504,135.1514,135.38251,135.28523,135.2236,134.92793,
8,2020-10-28 20:00:00,135.5,135.61,135.412,135.556,135.556,135.16727,135.43208,135.32689,135.25526,134.94327,
9,2020-10-28 21:00:00,135.56,135.569,135.436,135.463,135.463,135.17887,135.44091,135.34783,135.27504,134.9583,
10,2020-10-28 22:00:00,135.463,135.506,135.41,135.422,135.422,135.1884,135.43551,135.35924,135.28904,134.97304,
11,2020-10-28 23:00:00,135.426,135.471,135.354,135.418,135.418,135.19741,135.43051,135.36828,135.30132,134.98748,
12,2020-10-29 00:00:00,135.417,135.526,135.396,135.444,135.444,135.20708,135.43436,135.37993,135.31491,135.00163,
13,2020-10-29 01:00:00,135.444,135.511,135.411,135.493,135.493,135.21829,135.45112,135.39732,135.33187,135.0155,
14,2020-10-29 02:00:00,135.492,135.664,135.472,135.625,135.625,135.23424,135.5008,135.43235,135.35979,135.02909,70.93
15,2020-10-29 03:00:00,135.626,135.802,135.529,135.777,135.777,135.25552,135.57971,135.48537,135.39952,135.0424,74.25
16,2020-10-29 04:00:00,135.777,135.787,135.651,135.686,135.686,135.2724,135.61008,135.51624,135.4268,135.07279,69.17
17,2020-10-29 05:00:00,135.685,135.822,135.645,135.808,135.808,135.29341,135.66663,135.56113,135.46311,135.10196,71.94
18,2020-10-29 06:00:00,135.808,135.882,135.776,135.784,135.784,135.31265,135.70016,135.59541,135.49367,135.14516,70.59
19,2020-10-29 07:00:00,135.784,135.934,135.749,135.931,135.931,135.3369,135.76612,135.64704,135.53532,135.20411,73.82
20,2020-10-29 08:00:00,135.931,135.946,135.727,135.748,135.748,135.35302,135.76094,135.66257,135.55558,135.2771,64.35
21,2020-10-29 09:00:00,135.742,135.785,135.547,135.586,135.586,135.36215,135.71096,135.65079,135.55847,135.35736,57.34
22,2020-10-29 10:00:00,135.584,135.649,135.33,135.408,135.408,135.36395,135.6244,135.61344,135.54414,135.946,50.79
