,time,open,high,low,close,ema_short,ema_long,EMA_6,EMA_12,EMA_20,SAR,RSI_14
0,2020-11-06 04:00:00,1.71619,1.71734,1.71582,1.71719,1.71719,1.71719,1.71719,1.71719,1.71719,,
1,2020-11-06 05:00:00,1.71719,1.71898,1.7169400000000001,1.71858,1.71858,1.71724,1.71759,1.7174,1.71732,1.71582,
2,2020-11-06 06:00:00,1.7186,1.71871,1.71801,1.7181899999999999,1.71819,1.71728,1.71776,1.71752,1.71741,1.71588,
3,2020-11-06 07:00:00,1.7181899999999999,1.71879,1.71715,1.7175500000000001,1.71755,1.71729,1.7177,1.71753,1.71742,1.71595,
4,2020-11-06 08:00:00,1.7175500000000001,1.71804,1.71693,1.7175,1.7175,1.7173,1.71764,1.71752,1.71743,1.71601,
5,2020-11-06 09:00:00,1.7175,1.71772,1.71546,1.71745,1.71745,1.71731,1.71759,1.71751,1.71743,1.71898,
6,2020-11-06 10:00:00,1.71738,1.7177799999999999,1.71516,1.71634,1.71634,1.71727,1.71723,1.71733,1.71733,1.71891,
7,2020-11-06 11:00:00,1.71631,1.71783,1.71435,1.71777,1.71777,1.71729,1.71739,1.7174,1.71737,1.71876,
8,2020-11-06 12:00:00,1.71773,1.7182,1.71476,1.71783,1.71783,1.71731,1.71751,1.71747,1.71741,1.7185,
9,2020-11-06 13:00:00,1.7178,1.7181600000000001,1.71428,1.71543,1.71543,1.71724,1.71692,1.71715,1.71722,1.71825,
10,2020-11-06 14:00:00,1.71542,1.71678,1.7133699999999998,1.71489,1.71489,1.71714,1.71634,1.7168,1.717,1.7182,
11,2020-11-06 15:00:00,1.71489,1.71669,1.71284,1.71624,1.71624,1.71711,1.71631,1.71672,1.71693,1.71816,
12,2020-11-06 16:00:00,1.71627,1.71664,1.71105,1.71296,1.71296,1.71695,1.71535,1.71614,1.71655,1.71752,
13,2020-11-06 17:00:00,1.71298,1.71467,1.71143,1.71243,1.71243,1.71677,1.71452,1.71557,1.71616,1.71669,
14,2020-11-06 18:00:00,1.7128,1.717,1.71194,1.71497,1.71497,1.7167,1.71465,1.71548,1.71604,1.71105,42.96
15,2020-11-06 19:00:00,1.71495,1.7156799999999999,1.7132800000000001,1.7141600000000001,1.71416,1.7166,1.71451,1.71527,1.71587,1.71117,40.7
16,2020-11-06 20:00:00,1.7141600000000001,1.71487,1.7134200000000002,1.71377,1.71377,1.71649,1.7143,1.71504,1.71567,1.71129,39.63
17,2020-11-06 21:00:00,1.7137,1.71485,1.71332,1.7144,1.7144,1.71641,1.71433,1.71494,1.71555,1.7114,42.28
18,2020-11-06 22:00:00,1.7144,1.71618,1.71384,1.71549,1.71549,1.71637,1.71466,1.71503,1.71554,1.71151,46.66
19,2020-11-06 23:00:00,1.71546,1.71792,1.71497,1.71684,1.71684,1.71639,1.71528,1.71531,1.71566,1.71162,51.56
20,2020-11-09 00:00:00,1.71515,1.71711,1.71458,1.71673,1.71673,1.7164,1.7157,1.71553,1.71577,1.71187,51.15
21,2020-11-09 01:00:00,1.71673,1.71685,1.71555,1.71632,1.71632,1.7164,1.71587,1.71565,1.71582,1.71212,49.56
22,2020-11-09 02:00:00,1.71632,1.71641,1.71544,1.71604,1.71604,1.71638,1.71592,1.71571,1.71584,1.71235,48.45
23,2020-11-09 03:00:00,1.71604,1.71659,1.71556,1.71562,1.71562,1.71635,1.71584,1.71569,1.71582,1.71257,46.76
24,2020-11-09 04:00:00,1.71562,1.7162,1.7148400000000001,1.71501,1.71501,1.7163,1.7156,1.71559,1.71574,1.71278,44.34
25,2020-11-09 05:00:00,1.7150400000000001,1.71529,1.71444,1.71492,1.71492,1.71625,1.71541,1.71549,1.71566,1.71299,43.98
26,2020-11-09 06:00:00,1.71492,1.7154099999999999,1.7146599999999999,1.7149299999999998,1.71493,1.7162,1.71527,1.7154,1.71559,1.71319,44.04
27,2020-11-09 07:00:00,1.7149299999999998,1.7159499999999999,1.71429,1.71462,1.71462,1.71613,1.71508,1.71528,1.7155,1.71338,42.65
28,2020-11-09 08:00:00,1.71462,1.71597,1.7141199999999999,1.7159200000000001,1.71592,1.71613,1.71532,1.71538,1.71554,1.71356,49.79
29,2020-11-09 09:00:00,1.7157900000000001,1.71689,1.7143199999999998,1.71438,1.71438,1.71606,1.71505,1.71523,1.71543,1.71373,42.97
30,2020-11-09 10:00:00,1.71438,1.71566,1.71083,1.71255,1.71255,1.71592,1.71434,1.71481,1.71516,1.71792,36.55
31,2020-11-09 11:00:00,1.71258,1.7129699999999999,1.70873,1.70999,1.70999,1.71569,1.7131,1.71407,1.71466,1.71778,29.84
32,2020-11-09 12:00:00,1.71001,1.71203,1.70968,1.71075,1.71075,1.71549,1.71243,1.71356,1.71429,1.71742,33.73
33,2020-11-09 13:00:00,1.71075,1.71255,1.7074799999999999,1.71097,1.71097,1.71532,1.71201,1.71316,1.71397,1.71707,34.86
